time,gyro_roll,inter_time,inter_gyro_roll
31.12,-8.35,4.71,3.26E+02
31.22,-2.3,4.72,3.11E+02
31.3,-2.3,4.73,2.93E+02
31.32,-1.45,4.74,2.73E+02
31.42,-7.86,4.75,2.53E+02
31.43,-7.86,4.76,2.34E+02
31.43,-7.86,4.77,2.19E+02
31.52,-4.93,4.78,2.09E+02
31.62,2.88,4.79,2.05E+02
31.62,2.88,4.8,2.51E+02
31.72,-0.9,4.81,3.76E+02
31.82,-0.6,4.82,5.60E+02
31.92,15.27,4.83,7.84E+02
31.94,15.27,4.84,1.03E+03
32.02,37.61,4.85,1.27E+03
32.12,33.95,4.86,1.49E+03
32.22,38.95,4.87,1.68E+03
32.26,38.95,4.88,1.80E+03
32.32,61.72,4.89,1.85E+03
32.42,43.65,4.9,1.85E+03
32.43,43.65,4.91,1.84E+03
32.43,43.65,4.92,1.83E+03
32.52,25.89,4.93,1.81E+03
32.58,25.89,4.94,1.79E+03
32.62,4.96,4.95,1.76E+03
32.72,-5.11,4.96,1.72E+03
32.82,-18.97,4.97,1.69E+03
32.9,-18.97,4.98,1.66E+03
32.92,-25.99,4.99,1.63E+03
33.02,-19.21,5,1.60E+03
33.12,-16.04,5.01,1.56E+03
33.22,-12.99,5.02,1.52E+03
33.22,-12.99,5.03,1.48E+03
33.32,-12.68,5.04,1.43E+03
33.42,-5.66,5.05,1.39E+03
33.43,-5.66,5.06,1.36E+03
33.43,-5.66,5.07,1.33E+03
33.52,-22.75,5.08,1.31E+03
33.54,-22.75,5.09,1.31E+03
33.62,-36.48,5.1,1.31E+03
33.72,-43.32,5.11,1.31E+03
33.82,-46.86,5.12,1.31E+03
33.86,-46.86,5.13,1.32E+03
33.92,-33.43,5.14,1.32E+03
34.02,-8.23,5.15,1.33E+03
34.12,17.96,5.16,1.33E+03
34.18,17.96,5.17,1.33E+03
34.22,25.65,5.18,1.34E+03
34.32,17.84,5.19,1.34E+03
34.42,16.43,5.2,1.34E+03
34.43,16.43,5.21,1.34E+03
34.43,16.43,5.22,1.34E+03
34.5,16.43,5.23,1.34E+03
34.52,18.2,5.24,1.34E+03
34.62,44.02,5.25,1.34E+03
34.72,41.15,5.26,1.34E+03
34.82,32.79,5.27,1.34E+03
34.82,32.79,5.28,1.22E+03
34.92,15.03,5.29,1.06E+03
35.02,-4.62,5.3,9.88E+02
35.12,-18.72,5.31,9.24E+02
35.14,-18.72,5.32,8.69E+02
35.22,21.62,5.33,8.19E+02
35.32,27.91,5.34,7.76E+02
35.42,3.37,5.35,7.37E+02
35.43,3.37,5.36,7.02E+02
35.43,3.37,5.37,6.69E+02
35.46,3.37,5.38,6.38E+02
35.52,-51.13,5.39,6.07E+02
35.62,-40.88,5.4,5.76E+02
35.72,4.1,5.41,5.44E+02
35.78,4.1,5.42,5.12E+02
35.82,22.48,5.43,4.81E+02
35.92,-11.58,5.44,4.52E+02
36.02,-65.72,5.45,4.26E+02
36.1,-65.72,5.46,4.05E+02
36.12,-51.56,5.47,3.88E+02
36.22,24.31,5.48,3.78E+02
36.32,51.47,5.49,3.74E+02
36.42,17.23,5.5,3.74E+02
36.42,17.23,5.51,3.74E+02
36.43,17.23,5.52,3.74E+02
36.43,17.23,5.53,3.74E+02
36.52,0.81,5.54,3.74E+02
36.62,16.37,5.55,3.71E+02
36.72,40.18,5.56,3.65E+02
36.74,40.18,5.57,3.57E+02
36.82,23.33,5.58,3.51E+02
36.92,10.09,5.59,3.48E+02
37.02,-1.08,5.6,3.52E+02
37.06,-1.08,5.61,3.65E+02
37.12,-3.59,5.62,3.83E+02
37.22,1.36,5.63,4.07E+02
37.32,4.53,5.64,4.33E+02
37.38,4.53,5.65,4.61E+02
37.42,-6.33,5.66,4.90E+02
37.43,-6.33,5.67,5.17E+02
37.43,-6.33,5.68,5.40E+02
37.52,7.58,5.69,5.60E+02
37.62,47.32,5.7,5.77E+02
37.7,47.32,5.71,5.95E+02
37.72,80.95,5.72,6.13E+02
37.82,105.61,5.73,6.31E+02
37.92,92.48,5.74,6.48E+02
38.02,64.28,5.75,6.63E+02
38.02,64.28,5.76,6.76E+02
38.12,44.2,5.77,6.86E+02
38.22,39.38,5.78,6.93E+02
38.32,33.77,5.79,6.95E+02
38.34,33.77,5.8,6.95E+02
38.42,-0.78,5.81,6.95E+02
38.43,-0.78,5.82,6.95E+02
38.43,-0.78,5.83,6.95E+02
38.52,-14.57,5.84,6.95E+02
38.62,-1.76,5.85,6.95E+02
38.66,-1.76,5.86,6.95E+02
38.72,-47.65,5.87,6.50E+02
38.82,-76.28,5.88,5.62E+02
38.92,-92.39,5.89,5.08E+02
38.98,-92.39,5.9,4.95E+02
39.02,-130.11,5.91,4.83E+02
39.12,-146.29,5.92,4.74E+02
39.22,-122.91,5.93,4.65E+02
39.3,-122.91,5.94,4.58E+02
39.32,-79.58,5.95,4.53E+02
39.42,-42.53,5.96,4.48E+02
39.43,-42.53,5.97,4.45E+02
39.43,-42.53,5.98,4.43E+02
